а__,15689
і__,9149
__п,8050
__н,6629
е__,6619
я__,6197
ы__,5971
__з,5606
__с,5547
ў__,5158
__а,5001
у__,4970
__т,4723
__я,4636
__д,4499
_па,4232
__в,4168
ь__,4069
__і,3769
__к,3734
о__,3539
__м,3467
__б,3358
__г,3269
м__,3241
на_,3211
ць_,3035
_на,2819
не_,2741
_і_,2705
_не,2675
й__,2584
_пр,2340
__ў,2170
к__,2166
_ка,2110
__у,2071
__р,2065
_за,2044
кі_,1986
__ш,1974
_та,1967
н__,1942
ся_,1911
лі_,1901
_да,1871
з__,1842
аў_,1839
пра,1801
то_,1653
ава,1551
алі,1551
ла_,1530
ам_,1499
х__,1488
_ма,1452
_з_,1431
дзе,1401
ю__,1391
та_,1383
_вы,1382
што,1374
_шт,1370
__ч,1349
_ад,1344
_ра,1297
ай_,1293
_гэ,1259
ка_,1259
ала,1254
гэт,1243
__х,1227
ны_,1194
__л,1177
_бы,1168
га_,1140
__ц,1132
__ё,1111
__ж,1097
_ў_,1096
_у_,1088
_як,1055
ста,1053
_га,1038
_а_,1034
дзі,1019
ты_,1017
эта,1004
_я_,999
ца_,995
пры,988
раз,978
_дз,972
так,963
р__,955
т__,955
_ча,946
аць,943
пад,933
цца,927
ра_,908
ама,899
ён_,870
ага,856
ку_,855
го_,847
ыя_,843
ая_,835
_ён,835
ара,830
_са,830
да_,829
д__,805
ма_,796
_ве,788
але,783
ае_,776
_ва,772
кал,765
мі_,762
ым_,737
_ты,737
ак_,718
му_,713
ска,710
ва_,704
ўся,696
_то,688
вац,682
ш__,679
ада,678
_ст,676
оль,675
пер,674
ры_,674
с__,673
нав,668
яго,663
ера,662
_ян,657
іць,656
адз,644
_яг,643
ці_,643
_св,642
вал,641
был,641
_ск,636
ары,629
_ал,627
_ба,619
це_,613
як_,605
_сп,601
вы_,589
кам,588
лас,575
каз,564
ля_,564
ькі,559
ім_,558
аза,558
одз,553
дзя,553
ад_,552
_ту,549
ды_,541
ыў_,540
гар,537
льк,531
амі,529
сам,529
б__,528
ана,528
іх_,522
нік,517
за_,514
сь_,513
_тр,511
чы_,510
_мо,505
асц,505
вер,503
пак,503
_сы,499
вар,494
рав,491
там,490
ых_,489
рад,486
_аб,485
_пе,485
ую_,482
ой_,480
ле_,478
мал,471
аль,469
_ні,469
чын,468
ата,468
ася,463
зе_,460
ран,453
_кр,453
най,452
зна,450
рац,448
ж__,446
аст,445
заў,442
оў_,441
іка,440
раб,440
ні_,439
рас,437
бе_,436
__ф,435
ачы,431
аве,430
ака,430
_вя,427
ну_,425
раў,423
сці,421
ахв,421
аву,421
пас,420
ыць,420
сва,415
ван,411
еда,410
рам,408
іў_,406
_до,406
_яс,406
бра,404
нас,404
_бо,403
ч__,402
сын,399
ако,397
пал,397
_во,397
мам,396
час,395
вед,395
хва,394
ын_,393
ныя,391
_су,390
_ця,389
_ха,386
тра,386
_жа,384
ё__,383
аві,382
ацк,379
ло_,379
рла,378
ваў,378
ілі,376
буд,373
тол,372
ача,372
_ўс,372
трэ,372
цкі,371
арл,369
яна,369
ліс,369
лад,368
_зн,366
тар,365
ас_,363
тав,361
аму,360
_зл,359
дал,358
льн,356
лах,354
ар_,354
цы_,353
нуў,353
аб_,353
ход,351
таў,350
або,350
адн,347
ыла,345
_ус,345
анн,342
_бу,341
аро,341
мян,340
лік,340
чар,339
ін_,338
пав,337
іна,337
ачк,335
ыло,335
_ся,334
ах_,332
_ле,331
пар,330
ця_,329
_гр,328
кін,326
ылі,324
які,324
ялі,323
аго,323
ецц,322
_ж_,321
стр,321
іся,320
яе_,319
аўс,318
_ме,317
ат_,317
_ру,316
іла,315
